Feature,Correlation
!!,0.006399500092167293
!!!,0.0038125600745471722
!!!!,-0.0018882642823354764
!!!!!,-9.27648746263565E-4
!?,-0.004395252118801922
!?!,-9.27648746263565E-4
#x,-0.003970511012970448
#xa,0.002956666323640305
#xab,-8.588332269309376E-4
#xad,-9.917012584517084E-4
#xb,-0.0025768781812137184
#xbb,-8.588332269309376E-4
#xbd,0.01038429201665033
#xbf,0.01038429201665033
#xc,-0.001644620943519138
#xe,-9.021409661667104E-4
#xee,-0.001051861245719923
#xef,0.010170337951628017
#xf,-0.0015680749461160909
#xfa,-8.588332269309376E-4
#xfb,-7.84001486975171E-4
--,0.020160990259369384
-lsb-,-0.004002725131758967
-rsb-,-0.004257977473040008
.22,0.006409890313180304
.38,-0.0015283657247278082
.45,-0.0012145958963774527
.50,-7.84001486975171E-4
0,-2.8886154116359225E-4
1,-0.002973628262362514
10,0.00497623244111557
100,-0.002404012008403249
1000,-0.0013119215385158172
10000,-0.0011628834778207966
100000,-8.588332269309376E-4
101,-7.84001486975171E-4
11,-0.001644620943519138
111,-9.27648746263565E-4
12,0.0010853413502287818
125,-8.588332269309376E-4
13,-0.0011087624989792283
13th,-8.588332269309376E-4
14,-0.0012641953586989781
14th,-9.27648746263565E-4
15,0.004443810036753115
150,-0.0013119215385158172
1500,-8.588332269309376E-4
15000,-7.84001486975171E-4
16,0.004205506763433671
17,-0.0013119215385158172
17th,-8.588332269309376E-4
18,-0.0016815884785703846
180,-9.27648746263565E-4
18th,-7.84001486975171E-4
19,-0.0011087624989792283
1938,-7.84001486975171E-4
1958,-7.84001486975171E-4
1961,-9.27648746263565E-4
1962,-8.588332269309376E-4
1964,-7.84001486975171E-4
1967,-9.27648746263565E-4
1969,-9.917012584517084E-4
1976,-0.0011087624989792283
1981,-7.84001486975171E-4
19th,-7.84001486975171E-4
2,-0.0012154799323129469
20,-0.0023522923826701393
200,-0.0015283657247278082
2000,-0.0012641953586989781
20s,-9.27648746263565E-4
20th,-9.27648746263565E-4
